PU.1_Target_Genes (RGAGGAARY_PU1_Q6.v2024.1.Hs),,,,,,,,,
AP1G2,AP5B1,APLNR,ARF3,ARHGAP12,ARHGAP21,ARHGAP30,ARHGAP32,ARHGAP42,ARHGEF2
ARNT,ASCL4,ATF7IP,ATN1,ATP2A2,ATP6V0B,BATF,BATF3,BCAR3,BGLAP
BICDL1,BLOC1S1,BLOC1S2,BMF,BTG4,C11orf42,C14orf119,C1orf198,CADM1,CALCOCO1
CALHM3,CAP1,CARMIL3,CBL,CCDC91,CD101,CD6,CD69,CELF1,CHRNA10
CKMT1B,CLDN10,CNIH3,COL4A1,COL4A2,COL9A2,CORO1C,CREM,CRTAC1,CRTC2
CRY1,CSTPP1,CTSK,CYP17A1,DAB1,DACT1,DDX23,DENND2D,DGKA,DIABLO
DKK1,DNAJC14,DNASE2B,DNHD1,DNM3,DYNLL1,EDARADD,EGR2,EIF2B3,EIF3J
EMP1,EMSY,ENTPD1,FAM13C,FCER1G,FGD4,FGF4,FLI1,FOXD2,FOXN3
FRMD4A,GPATCH2,GPBP1L1,GPD1,GPR137B,GRHL3,GRK5,GTF2A1,GZMB,HDGF
HHIPL1,HINFP,HIPK1,HIVEP3,HLX,HOATZ,HOXC4,HOXC6,HP1BP3,HSP90B1
ID3,IFNG,IL23A,INPPL1,INTS3,ITGA10,ITGB7,JDP2,JMJD1C,KCNJ1
KCTD4,KIF1B,KLHDC9,KRT73,KRT74,LCK,LCOR,LINC02694,LMO2,LMO3
LRMDA,LRP5,LUZP1,LY9,MADD,MAP3K11,MATN1,MDGA2,MEIS2,MIA2
MIR17HG,MKRN3,MMP13,MMP14,MOAP1,MPL,MR1,MRPL42,MRPS31,MSMB
MSRB3,MTMR11,MTX1,MYOD1,NAV3,NDUFA9,NFRKB,NGB,NHLRC2,NKX2-1
NOTCH2,NOTCH2NLA,NR4A1,NRAS,NRXN3,NSUN4,NUCB2,OTOGL,PACS1,PAX6
PCF11,PCGF6,PDE3B,PDE6H,PDZK1,PDZRN4,PGF,PHF21A,PICALM,PIGV
PLEKHA6,PLXNC1,POU2F1,PRICKLE1,PRR5L,PRRG4,PSMA1,PTPN22,PTPN7,PXN
PYM1,RAB30,RAB39A,RAB5B,RABGAP1L,RAG1,RASAL2,RASGEF1A,RCC2,RCOR2
RDH5,REXO2,RGS1,RGS18,RHOG,RILPL1,RIN1,RNF19B,RNF220,RORC
S100A9,SCEL,SCN2B,SCN3B,SCN8A,SCNN1A,SELENOH,SEMA4A,SGIP1,SH3BP5L
SIRT1,SLC12A6,SLC15A3,SLC2A3,SLC37A2,SLC37A4,SLC6A9,SLITRK5,SMG7,SNX1
SOX5,SPATA17,SPRYD3,SRSF4,STAT2,STRC,SUPT16H,SWT1,SYT9,TACC2
TACSTD2,TAMALIN,TBK1,TBX5,TCF12,THBS3,TLCD5,TLL2,TMCO1,TMEM109
TMEM117,TMEM151A,TMEM62,TMEM86A,TNFSF4,TNNT2,TPM1,TRMT1L,TSPAN32,TSPAN9
TWF1,UBL3,VIM,VRK1,VSIG10,WNT8B,XCL1,XCL2,ZBTB18,ZBTB25
ZBTB8A,,,,,,,,,
CEBPA_Target_Genes (CEBP_01.v2024.1.Hs),,,,,,,,,
ABI3,ACLY,ACVR2A,ADM,AKIRIN2,AKNAD1,ANGPT2,ANGPTL2,ANKRD20A19P,ANKRD42
ARAP2,ARHGAP5,ARHGAP6,ARHGEF25,ARMC5,ARMCX4,ARRDC4,ASCL4,ATOH1,ATRX
BCAR3,BCL11B,BNC2,C1orf116,C1orf122,C5orf64,CACNA2D3,CACNB1,CACNG2,CADM1
CALN1,CASK,CCDC177,CCDC6,CCDC71,CD86,CDH13,CDH16,CHCHD7,CHD6
CLDN16,CLDN2,CMSS1,CNIH4,CNTLN,COL2A1,CPEB4,CS,CSAD,CSK
CSTPP1,CYP2D6,DAPK1,DDX52,DENND2B,DLG2,DLL1,DMD,DNM3,DOCK9
DST,DUSP2,DZANK1,EDNRA,EGR2,ELAVL2,ENAM,EPC2,ERG,EVA1A
EVI2A,EYA1,FABP1,FAHD1,FAM180A,FAM27E5,FGF13,FIBIN,FIGN,FLI1
FOSB,FOXD3,FOXP1,FUT8,GARRE1,GCNT2,GIGYF2,GNAZ,GNGT2,GPX1
GRIN2B,GSTA4,HAGH,HAND2,HBP1,HDAC4,HEY1,HIGD1A,HOXA10,HOXA11
HOXB3,HOXB6,HPCAL1,HS3ST3B1,IGFBP5,IL13,IL1RAPL1,IL2,IL20RB,INIP
IP6K2,ITGB1BP2,JARID2,KCNJ1,KCNK2,KCNQ4,KCTD4,KDM6A,KMT2D,KPNA3
KRT36,KRTAP11-1,LBX1,LEMD2,LMO3,LRFN5,LRRTM1,LSAMP,LTBP1,MAP4K4
MDGA2,MECOM,MEIOB,MINDY1,MNT,MSRB1,MTSS1,MYBPC1,MYLIP,MYOCD
MYPN,NCDN,NCKAP5,NECTIN1,NEK10,NEO1,NEUROD1,NEUROG1,NFATC4,NFKBIZ
NIM1K,NKX2-1,NKX2-2,NPAS2,NPR3,NR3C1,NRAS,NREP,NSG2,NUDCD1
NUDT10,NUDT3,NUP155,OLFM2,OPALIN,OR2C1,OR6C3,ORAI3,OSR2,OTX1
OVOL2,PAGE4,PAK1IP1,PALLD,PCDH8,PCDH9,PDE3B,PER2,PEX16,PFKFB1
PHF21A,PHOX2B,PLEK,PLXNC1,POLR3F,POU3F3,POU3F4,PPM1E,PPP1CB,PPP2CA
PRDM1,PRDM10,PRELP,PRKCG,PRUNE1,PSMA1,PURA,PURG,RALY,RAMP1
RBFOX1,RBM14,RBM39,RBMS1,REEP6,REST,RGS3,RIMS1,RNF19A,RNF43
RORA,RTL3,RUSC1-AS1,S100A9,SAMSN1,SEMA3A,SEPHS2,SEPTIN9,SGIP1,SHOX2
SIAE,SIAH3,SKAP1,SLC24A4,SLC25A35,SLC31A1,SLC35A2,SLITRK3,SMAD5,SNTB2
SOX2,SOX5,SPA17,SPINK5,SRSF6,SSBP3,SSTR5,STN1,STOML2,SUMO2
SUPT16H,SUPT4H1,SV2B,SYNE2,TAAR9,TACSTD2,TAPT1,TAPT1-AS1,TBC1D8B,TBL1X
TEC,TGIF1,THBS1,TMEM255A,TNF,TNFSF10,TNMD,TOP1,TPM1,TRA2A
TSC22D3rry,TSHZ3,UBE2O,UBXN10,USP32,VAX1,VGLL3,VSNL1,WNT1,WRN
WWP2,YRDC,YTHDF1,ZBTB9,ZEB2,ZNF436,ZNF462,,,
